year,annual_precip_mm,avg_tmean_c
2026,591.26,10.05
2027,971.62,12.11
2028,999.01,11.71
2029,952.18,11.62
2030,919.81,11.86
2031,1010.17,12.82
2032,959.34,12.01
2033,898.38,12.31
2034,859.26,13.25
2035,1160.80,11.46
2036,1041.20,10.67
2037,913.21,11.83
2038,1156.86,12.22
2039,1054.32,12.20
2040,1027.49,12.23
2041,921.83,12.52
2042,980.69,11.89
2043,981.94,12.60
2044,981.12,13.64
2045,962.10,12.49
2046,976.74,11.48
2047,957.52,12.42
2048,1034.00,12.89
2049,766.88,12.56
2050,937.83,12.13
2051,828.33,12.47
2052,1051.60,12.67
2053,1104.06,12.75
2054,1010.81,12.55
2055,988.72,12.01
2056,1008.83,11.50
2057,964.82,13.10
2058,1181.30,12.80
2059,869.55,12.37
2060,1151.30,13.43
2061,811.94,12.30
2062,1131.24,12.74
2063,1039.09,13.19
2064,981.19,11.69
2065,818.51,12.45
2066,792.08,12.37
2067,1056.19,12.60
2068,944.78,11.17
2069,860.37,13.82
2070,923.80,12.62
2071,1026.86,12.58
2072,1070.41,13.19
2073,1157.86,12.08
2074,893.02,12.13
2075,1030.06,12.90
2076,1066.33,13.78
2077,1080.75,12.83
2078,1046.71,13.04
2079,1068.48,12.97
2080,874.82,13.43
2081,915.15,12.71
2082,918.55,14.37
2083,907.25,14.28
2084,945.68,13.72
2085,1084.26,13.14
2086,923.17,12.38
2087,1141.13,13.23
2088,958.69,12.18
2089,872.18,13.25
2090,1090.65,13.44
2091,957.42,13.71
2092,1010.51,13.80
2093,1104.33,13.64
2094,880.88,13.25
2095,1056.55,13.08
2096,943.59,14.31
2097,1047.73,13.02
2098,1093.89,13.77
2099,1000.19,13.21
2100,778.96,14.00
