month,precip_mean_historical,precip_min_historical,precip_max_historical,tmean_mean_historical,tmean_min_historical,tmean_max_historical,month_name,precip_mean_future,precip_min_future,precip_max_future,tmean_mean_future,tmean_min_future,tmean_max_future
1,1.82,0.66,3.43,-3.85,-10.17,4.47,January,2.14,0.92,4.70,0.04,-8.44,8.15
2,1.82,0.62,3.63,-2.42,-11.37,3.74,February,1.91,0.27,4.93,1.44,-8.96,7.43
3,2.36,0.28,5.15,3.06,-3.89,8.92,March,2.60,0.76,5.02,5.56,0.54,10.01
4,2.85,0.66,6.25,9.26,4.59,14.66,April,2.92,1.10,4.93,12.00,9.03,15.50
5,3.09,0.79,5.10,15.33,13.24,17.88,May,3.48,0.62,7.46,17.55,14.30,21.73
6,3.42,1.11,5.36,20.21,17.66,23.02,June,3.09,0.63,5.98,22.63,19.81,25.42
7,3.46,1.16,5.34,22.50,20.25,24.88,July,3.38,1.25,7.47,24.85,22.43,27.66
8,3.05,0.90,5.73,21.39,18.92,24.03,August,3.11,0.55,6.13,23.97,22.46,26.74
9,2.58,0.76,5.24,17.99,14.90,20.56,September,2.81,0.20,6.37,20.34,16.93,24.09
10,2.05,0.40,6.03,11.76,8.43,15.85,October,2.21,0.64,4.77,14.11,10.28,17.01
11,2.51,0.53,5.39,5.45,1.14,11.14,November,2.22,0.46,4.89,7.30,2.32,12.70
12,2.29,0.49,4.52,-0.87,-6.86,3.71,December,2.26,0.71,4.21,1.72,-4.79,7.76
