year,annual_precip_mm,avg_tmean_c
2026,583.61,10.44
2027,938.82,12.56
2028,1007.75,12.06
2029,927.05,11.95
2030,896.10,12.28
2031,977.58,13.27
2032,941.38,12.42
2033,859.56,12.72
2034,843.38,13.53
2035,1148.16,11.85
2036,1002.52,11.06
2037,926.30,12.19
2038,1109.70,12.71
2039,1036.13,12.55
2040,976.23,12.65
2041,893.67,12.97
2042,974.62,12.30
2043,944.47,12.93
2044,975.02,13.96
2045,946.73,12.84
2046,955.79,11.88
2047,904.24,12.89
2048,997.50,13.31
2049,753.13,12.91
2050,918.24,12.49
2051,774.27,12.91
2052,1023.67,13.14
2053,1104.40,13.07
2054,985.15,12.98
2055,962.72,12.41
2056,958.51,12.01
2057,941.09,13.42
2058,1148.21,13.19
2059,865.12,12.71
2060,1100.97,13.76
2061,778.97,12.68
2062,1134.40,13.11
2063,1012.79,13.47
2064,982.23,12.04
2065,811.36,12.85
2066,769.55,12.74
2067,1046.37,12.97
2068,911.99,11.61
2069,851.36,14.22
2070,916.32,12.99
2071,997.62,13.02
2072,1078.15,13.53
2073,1140.58,12.37
2074,884.77,12.50
2075,1006.40,13.25
2076,1026.59,14.16
2077,1054.97,13.21
2078,1041.70,13.41
2079,1035.93,13.40
2080,873.99,13.83
2081,901.58,13.11
2082,881.65,14.73
2083,882.08,14.63
2084,926.20,14.06
2085,1088.70,13.48
2086,889.37,12.80
2087,1142.10,13.61
2088,935.35,12.58
2089,827.64,13.67
2090,1034.19,13.85
2091,945.81,14.09
2092,969.94,14.18
2093,1071.24,14.00
2094,889.72,13.64
2095,1002.83,13.52
2096,929.03,14.72
2097,1040.65,13.36
2098,1066.98,14.09
2099,992.82,13.54
2100,748.04,14.39
