month,precip_mean_historical,precip_min_historical,precip_max_historical,tmean_mean_historical,tmean_min_historical,tmean_max_historical,month_name,precip_mean_future,precip_min_future,precip_max_future,tmean_mean_future,tmean_min_future,tmean_max_future
1,1.79,0.63,3.52,-3.63,-10.20,4.82,January,2.10,0.92,4.48,0.37,-8.24,8.65
2,1.80,0.61,3.50,-2.09,-11.21,4.30,February,1.88,0.27,4.87,1.94,-8.51,7.96
3,2.36,0.37,5.21,3.53,-3.40,9.49,March,2.59,0.79,4.84,6.06,1.22,10.46
4,2.90,0.66,6.23,9.79,5.18,15.13,April,2.96,1.07,5.11,12.54,9.42,15.99
5,3.06,0.92,5.25,15.88,13.73,18.47,May,3.51,0.47,7.60,18.10,14.80,22.11
6,3.31,1.11,4.98,20.75,18.22,23.50,June,3.00,0.76,5.58,23.17,20.26,26.01
7,3.37,1.16,5.21,22.93,20.61,25.17,July,3.27,1.29,7.57,25.27,23.00,28.03
8,2.97,0.80,5.80,21.78,19.50,24.39,August,2.97,0.51,5.68,24.40,22.77,27.03
9,2.42,0.76,4.74,18.36,15.34,20.92,September,2.61,0.19,5.81,20.74,17.29,24.48
10,1.96,0.40,5.61,11.98,8.68,15.95,October,2.06,0.54,4.36,14.33,10.45,17.14
11,2.48,0.48,5.24,5.55,1.37,11.31,November,2.18,0.43,4.84,7.38,2.41,12.75
12,2.29,0.54,4.44,-0.80,-6.83,3.60,December,2.26,0.70,4.37,1.82,-5.01,7.90
